Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD,Region,Exchange,Currency,Total Traded,MA50,MA100,MA200,Return,Cumulative Return,Percentage Change,Stock Return
000001.SS,1997-07-17,1188.266968,1203.504028,1180.93396,1197.225952,1197.225952,0.0,191.55615232,China,Shanghai Stock Exchange,CNY,0.0,,,,0.00537433825872391,0.9984695666472058,0.9988787430666553,-0.11212569333447497
000001.SS,1997-07-18,1199.399048,1210.439941,1191.28894,1209.857056,1209.857056,0.0,193.57712896,China,Shanghai Stock Exchange,CNY,0.0,,,,0.01055030922015976,1.0090037293222527,1.0057630991161086,0.5763099116108616
000001.SS,1997-07-21,1215.838989,1218.480957,1188.875,1193.525024,1193.525024,0.0,190.96400384,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.013499141835810469,0.9953830448672699,1.0066430524370806,0.6643052437080632
000001.SS,1997-07-22,1189.118042,1208.261963,1163.468018,1208.248047,1208.248047,0.0,193.31968752,China,Shanghai Stock Exchange,CNY,0.0,,,,0.012335747222674165,1.0076618384984883,0.9916133330264265,-0.8386666973573487
000001.SS,1997-07-23,1219.055054,1223.822998,1194.703003,1198.860962,1198.860962,0.0,191.81775392,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.007769170430945493,0.9998331419384338,1.0128788586221515,1.2878858622151546
000001.SS,1997-07-24,1194.704956,1200.30896,1172.366943,1174.217041,1174.217041,0.0,187.87472656000003,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.020556112661211046,0.9792804592303347,0.9807864061727658,-1.9213593827234199
000001.SS,1997-07-25,1166.56604,1177.652954,1158.135986,1170.862061,1170.862061,0.0,187.33792976,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.0028572060214208106,0.976482453205562,0.9811248547207377,-1.8875145279262262
000001.SS,1997-07-28,1167.812988,1167.880005,1138.474976,1141.776978,1141.776978,0.0,182.68431648,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.024840742533889237,0.9522259039966221,0.9917013336001873,-0.8298666399812693
000001.SS,1997-07-29,1137.31897,1161.194946,1133.175049,1153.229004,1153.229004,0.0,184.51664064,China,Shanghai Stock Exchange,CNY,0.0,,,,0.010030002549236805,0.9617767322411576,0.9942759025144883,-0.5724097485511725
000001.SS,1997-07-30,1157.089966,1179.478027,1157.004028,1179.421021,1179.421021,0.0,188.70736336,China,Shanghai Stock Exchange,CNY,0.0,,,,0.022711895823945172,0.9836205051897131,1.015745057333379,1.5745057333379053
000001.SS,1997-07-31,1184.937012,1192.199951,1179.714966,1189.76001,1189.76001,0.0,190.3616016,China,Shanghai Stock Exchange,CNY,0.0,,,,0.00876615628847599,0.9922430762667559,1.010786062740277,1.0786062740276936
000001.SS,1997-08-01,1191.651001,1194.031006,1182.223022,1192.828003,1192.828003,0.0,190.85248048000005,China,Shanghai Stock Exchange,CNY,0.0,,,,0.002578665423458082,0.9948017391791907,1.0015358623345556,0.15358623345556044
000001.SS,1997-08-04,1196.254028,1201.920044,1188.676025,1200.333008,1200.333008,0.0,192.05328128,China,Shanghai Stock Exchange,CNY,0.0,,,,0.006291774657473326,1.0010608075509686,1.0066070629325015,0.6607062932501462
000001.SS,1997-08-05,1203.358032,1207.228027,1193.696045,1196.274048,1196.274048,0.0,191.40384768,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.0033815282700282445,0.9976756921302177,1.0044162529999376,0.4416252999937642
000001.SS,1997-08-06,1196.035034,1197.444946,1170.266968,1171.94104,1171.94104,0.0,187.5105664,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.02034066361356024,0.9773823064811711,0.9918962443041425,-0.8103755695857529
000001.SS,1997-08-07,1167.927002,1199.23999,1161.631958,1199.23999,1199.23999,0.0,191.8783984,China,Shanghai Stock Exchange,CNY,0.0,,,,0.023293791298579336,1.0001492459472676,1.001499061819916,0.14990618199159922
000001.SS,1997-08-08,1205.952026,1216.561035,1201.358032,1206.052979,1206.052979,0.0,192.96847664,China,Shanghai Stock Exchange,CNY,0.0,,,,0.005681088903648046,1.0058311827304105,1.014443351743132,1.4443351743131938
000001.SS,1997-08-11,1206.456055,1206.759033,1182.447021,1184.083008,1184.083008,0.0,189.45328128000003,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.018216422812716293,0.9875085366275789,0.9919428604747317,-0.805713952526832
000001.SS,1997-08-12,1177.260986,1183.436035,1145.748047,1146.80896,1146.80896,0.0,183.4894336,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.03147925250862138,0.9564225060486601,0.9806730280344211,-1.9326971965578865
000001.SS,1997-08-13,1139.245972,1153.494995,1118.202026,1120.126953,1120.126953,0.0,179.22031248,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.023266304965039786,0.9341700883475044,0.9746999084745633,-2.5300091525436663
